found [644, 939] with product 604716
found [802, 41] with product 32882
found [118, 102] with product 12036
found [176, 128] with product 22528
found [579, 916] with product 530364
found [35, 552] with product 19320
found [320, 111] with product 35520
found [288, 284] with product 81792
found [191, 49] with product 9359
found [360, 182] with product 65520
found [171, 480] with product 82080
found [747, 182] with product 135954
found [688, 537] with product 369456
found [611, 354] with product 216294
found [71, 881] with product 62551
found [190, 939] with product 178410
found [33, 286] with product 9438
found [158, 767] with product 121186
found [908, 279] with product 253332
found [667, 319] with product 212773
found [15, 257] with product 3855
found [275, 979] with product 269225
found [945, 167] with product 157815
found [749, 197] with product 147553
found [811, 298] with product 241678
found [720, 546] with product 393120
found [793, 450] with product 356850
found [534, 486] with product 259524
found [191, 945] with product 180495
found [736, 260] with product 191360
found [832, 82] with product 68224
found [71, 512] with product 36352
found [913, 340] with product 310420
found [687, 132] with product 90684
found [885, 715] with product 632775
found [221, 992] with product 219232
found [464, 513] with product 238032
found [475, 923] with product 438425
found [638, 397] with product 253286
found [785, 485] with product 380725
found [626, 84] with product 52584
found [975, 184] with product 179400
found [278, 707] with product 196546
found [259, 757] with product 196063
found [529, 846] with product 447534
found [573, 126] with product 72198
found [157, 704] with product 110528
found [994, 788] with product 783272
found [188, 171] with product 32148
found [566, 955] with product 540530
found [348, 256] with product 89088
found [979, 760] with product 744040
found [404, 492] with product 198768
found [255, 456] with product 116280
found [922, 121] with product 111562
found [158, 635] with product 100330
found [115, 910] with product 104650
found [46, 218] with product 10028
found [573, 246] with product 140958
found [748, 445] with product 332860
found [621, 326] with product 202446
found [907, 241] with product 218587
found [17, 540] with product 9180
found [979, 21] with product 20559
found [630, 834] with product 525420
found [81, 419] with product 33939
found [733, 56] with product 41048
found [546, 593] with product 323778
found [675, 238] with product 160650
found [65, 485] with product 31525
found [798, 814] with product 649572
found [978, 520] with product 508560
found [258, 220] with product 56760
found [742, 346] with product 256732
found [683, 553] with product 377699
found [659, 670] with product 441530
found [76, 517] with product 39292
found [825, 773] with product 637725
found [547, 609] with product 333123
found [800, 16] with product 12800
found [545, 359] with product 195655
found [175, 737] with product 128975
found [884, 51] with product 45084
found [90, 527] with product 47430
found [510, 236] with product 120360
found [194, 525] with product 101850
found [66, 447] with product 29502
